id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes,alternative_names,occupations,key_themes,education,maiden_name,key_associations,major_awards,archives_locations,modern_availability,has_extended_narrative,has_portrait,signature_work_ids,has_pseudonym,is_pseudonym,external_ids,hhs_id,gutenberg_author_id
43,Adela Rogers St. Johns,1894,1988,American,,"American journalist, novelist, and screenwriter (1894-1988). Born in Los Angeles. Died in Arroyo Grande. Occupations: journalist, screenwriter, biographer, writer, essayist, novelist",Q353774,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A43,
121,Adele Bleneau,,,American,,,,2025-06-18T02:29:21.222936,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A121,
307,Adria Locke Langley,1899,1983,American,,"American writer (1899–1983). Occupations: writer, novelist",Q4684769,2025-07-07T19:54:06.660067,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A307,
403,Agnes Louise Provost,,,American,,American writer. Occupations: writer,Q114665346,2025-07-09T17:57:33.053183,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A403,
96,Agnes Newton Keith,1901,1982,American,,"American novelist and memoirist (1901—1982). Occupations: novelist, writer",Q4693095,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A96,
251,Alberta Pierson Hannum,1906,1985,American,,writer. Occupations: writer,Q105375750,2025-07-05T22:18:25.74318,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A251,
203,Alberta Stedman Eagan,,,American,,,,2025-06-24T13:48:25.835294,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A203,
263,Alexine Heyland,,,American,,,,2025-07-05T22:18:25.74318,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A263,
24,Alice Duer Miller,1874,1942,American,,"American poet, novelist, and screenwriter (1874-1942). Born in Staten Island, died in NYC. Prominent suffragist who wrote political verse for the New York Tribune (1914-1917). Member of the Algonquin Round Table and Heterodoxy. Best known for _The White Cliffs_ which sold over 200,000 copies in first 2 years. One of the first East Coast authors imported to Hollywood by Samuel Goldwyn (1921); worked for Paramount, RKO, and MGM over 20 years.",Q533042,2025-06-17T03:44:44.513472,2025-08-13T21:40:43.149793,also wrote under the pseud Clara Bartram,"['Alice Duer', 'Clara Bartram']","['poet', 'novelist', 'screenwriter', 'short story writer']","['romance', 'social class', 'family dynamics', 'social satire', ""women's rights""]",Barnard College,Alice Duer,"['Algonquin Round Table', 'Heterodoxy', 'Authors League of America', 'Samuel Goldwyn', 'Henry Wise Miller']",,"['Barnard Archives and Special Collections, Alice Duer Miller Papers, 1779-1949']",Public domain works are available online and in inexpensive reprint editions.,False,True,"[231, 74, 49]",True,False,,A24,3939
5,Alice Hegan Rice,1870,1942,American,,"American writer. Born in Shelbyville. Died in Louisville. Occupations: humorist, novelist, short story writer, writer. Notable works: Mrs. Wiggs of the Cabbage Patch",Q4725909,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A5,
470,Alice L. Tildesley,,,American,,,,2025-07-16T17:49:15.486473,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A470,
11,Alice MacGowan,1858,1947,American,,"American author. Born in Perrysburg. Died in Los Gatos. Occupations: novelist, writer",Q13563114,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A11,
418,Alice M. Roberts,,,American,,,-,2025-07-11T14:45:25.562884,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A418,
7,Alice Muriel Williamson,1869,1933,American-English,,"British novelist, frequently as duo with husband C. N. Williamson. Born in Cleveland. Died in Bath. Occupations: writer, novelist",Q4726025,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A7,
173,Alice Ross Colver,1892,1988,American,,,Q115962238,2025-06-19T17:55:47.602155,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A173,
266,Alice Tisdale Hobart,1882,1967,American,,"American writer (1882-1967). Born in Lockport. Occupations: writer, historian, novelist",Q1594680,2025-07-05T22:18:25.74318,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A266,
176,Allene Corliss,1898,1979,American,,,,2025-06-19T17:55:47.602155,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A176,
434,Alma Sioux Scarberry,1899,1990,American,,[occupation:script-writer; radio producer; author] [dates:1925-1930] [archive:American Biographical Archive]. Occupations: writer,Q110284489,2025-07-16T02:22:05.085796,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A434,
213,Angna Enters,1897,1989,American,,"American dancer, mime, painter, writer, novelist and playwright (1897-1989). Born in New York City. Died in Tenafly. Occupations: mime artist, dancer, painter, autobiographer, actor",Q4763725,2025-06-24T13:48:25.835294,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A213,
52,Anita Loos,1888,1981,American,,"American screenwriter, playwright, author, actress and television producer (1888-1981). Born in Mount Shasta. Died in New York City. Occupations: film actor, screenwriter, writer, autobiographer, memoirist, novelist. Notable works: Gentlemen Prefer Blondes",Q272088,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A52,
166,Anna Alice Chapin,1880,1920,American,,"American writer. Born in New York City. Died in New York City. Occupations: writer, novelist",Q4766815,2025-06-19T17:55:47.602155,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A166,
243,Anna Katharine Green,1846,1935,American,,"novelist (1846-1935). Born in Brooklyn. Died in Buffalo. Occupations: novelist, poet, writer. Notable works: The Leavenworth Case",Q442130,2025-07-04T00:53:10.886851,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A243,
425,Anna Perrott Rose,1890,1968,American,,,,2025-07-11T14:45:25.562884,2025-08-04T17:06:35.659603,pseud of Anna Maria Rose Wright,,,,,,,,,,False,False,,False,False,,A425,
65,Anne Austin,1895,1975,American,,American crime writer (1895-1975). Born in Waco. Died in Los Angeles. Occupations: crime fiction writer,Q19606547,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A65,
153,Anne Cameron,,,American,,,-,2025-06-19T17:55:47.602155,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A153,
287,Anne Jordan,,,American,,,-,2025-07-06T14:38:37.419857,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A287,
391,Anne Parrish,1888,1957,American,,"American children's writer (1888–1957). Born in Colorado Springs. Died in Danbury. Occupations: novelist, writer, art collector, children's writer. Notable works: The Dream Coach",Q565684,2025-07-09T17:57:33.053183,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A391,
506,Anne Wormser,,,American,,Occupations: writer,Q95753824,2025-07-16T19:53:32.292162,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A506,
284,Annie Fellows Johnston,1863,1931,American,,"American writer. Born in Evansville. Died in Pewee Valley. Occupations: children's writer, novelist, writer",Q4769278,2025-07-06T14:38:37.419857,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A284,
438,Anya Seton,1904,1990,American,,"American author of historical fiction (1904-1990). Born in New York City. Died in Old Greenwich. Occupations: novelist, writer, screenwriter. Notable works: Green Darkness, The Winthrop Woman, Katherine, My Theodosia, Dragonwyck",Q2857861,2025-07-16T02:22:05.085796,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A438,
36,Anzia Yezierska,1880,1970,Polish-American,,"American writer (1880–1970). Born in Płońsk. Died in Ontario. Occupations: novelist, author, writer. Notable works: Hungry Hearts, Bread Givers",Q535396,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A36,
373,Audrey Munson,1891,1996,American,,,Q152776,2025-07-08T22:18:42.615814,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A373,
215,Augusta J. Evans,1835,1909,American,,,Q274219,2025-06-24T13:48:25.835294,2025-08-04T17:06:35.659603,,['Augusta Jane Evans Wilson'],,,,,,,,,False,False,,False,False,,A215,
472,Augusta Tucker,1904,1999,American,,Occupations: writer,Q95730864,2025-07-16T17:49:15.486473,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A472,
345,Aurora Mardiganian,1901,1994,Armenian-American,,"American actress (1901-1994). Born in Çemişgezek. Died in Los Angeles. Occupations: writer, actor",Q4822564,2025-07-08T22:18:42.615814,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A345,
496,Barrett Willoughby,1886,1959,American,,"American writer. Born in Alaska. Died in Berkeley. Occupations: novelist, writer",Q4863450,2025-07-16T19:53:32.292162,2025-08-04T17:06:35.659603,aka Florance Barrett,,,,,,,,,,False,False,,False,False,,A496,
49,Beatrice Burton,1894,1983,American,,"American writer (1894-1983). Born in Cleveland. Died in Naples. Occupations: novelist, writer, actor",Q4877134,2025-06-17T03:44:44.513472,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A49,
372,Bella Muni,1898,1971,American,,,,2025-07-08T22:18:42.615814,2025-08-04T17:06:35.659603,,,,,,,,,,,False,False,,False,False,,A372,
