Title,Year,Directors,imdbID,Review
Ramona,1910,D. W. Griffith,,AFI Catalog ID: 40029.0
Uncle Tom's Cabin,1910,Barry O'Neil,,AFI Catalog ID: 40640.0
"Uncle Tom's Cabin, Part 3",1910,Frederick Thomson,,AFI Catalog ID: 40643.0
A Lady of Quality,1913,,,AFI Catalog ID: 18163.0
Mrs. Wiggs of the Cabbage Patch,1914,Harold Entwhistle,,AFI Catalog ID: 18181.0
Tess of the Storm Country,1914,,,AFI Catalog ID: 16453.0
The Eagle's Mate,1914,James Kirkwood,,AFI Catalog ID: 16319.0
The Opened Shutters,1914,Otis Turner,,AFI Catalog ID: 16527.0
Uncle Tom's Cabin,1914,William Robert Daly,,AFI Catalog ID: 2113.0
Jewel,1915,Phillips Smalley,,AFI Catalog ID: 16556.0
The Circular Staircase,1915,Edward J. Le Saint,,AFI Catalog ID: 16431.0
The Dawn of a Tomorrow,1915,James Kirkwood,,AFI Catalog ID: 18171.0
The House of the Lost Court,1915,Charles J. Brabin,,AFI Catalog ID: 16548.0
The Pretty Sister of Jose,1915,Allan Dwan,,AFI Catalog ID: 18185.0
A Romance of Billy Goat Hill,1916,Lynn Reynolds,,AFI Catalog ID: 16806.0
Judith of the Cumberlands,1916,J. P. McGowan,,AFI Catalog ID: 16746.0
Little Eve Edgarton,1916,Robert Leonard,,AFI Catalog ID: 16752.0
Lord Loveland Discovers America,1916,Arthur Maude,,AFI Catalog ID: 1868.0
Molly Make-Believe,1916,J. Searle Dawley,,AFI Catalog ID: 16769.0
Ramona,1916,Donald Crisp,,AFI Catalog ID: 1879.0
Secret Love,1916,Robert Leonard,,AFI Catalog ID: 16816.0
The Awakening of Helena Richie,1916,John W. Noble,,AFI Catalog ID: 16826.0
The Enemy,1916,Paul Scardon,,AFI Catalog ID: 16710.0
The Hidden Scar,1916,Barry O'Neil,,AFI Catalog ID: 14130.0
The Iron Woman,1916,Carl Harbaugh,,AFI Catalog ID: 16741.0
The Man from Bitter Roots,1916,Oscar C. Apfel,,AFI Catalog ID: 16758.0
The Other Side of the Door,1916,Thomas Ricketts,,AFI Catalog ID: 16787.0
The Place Beyond the Winds,1916,Joseph De Grasse,,AFI Catalog ID: 16785.0
The Shop Girl,1916,George D. Baker,,AFI Catalog ID: 16815.0
The Woman Who Dared,1916,George E. Middleton,,AFI Catalog ID: 17304.0
A Son of the Hills,1917,Harry Davenport,,AFI Catalog ID: 17753.0
A Soul for Sale,1917,Allen Holubar,,AFI Catalog ID: 17532.0
A Wife on Trial,1917,Ruth Ann Baldwin,,AFI Catalog ID: 16932.0
An Alabaster Box,1917,Chester Withey,,AFI Catalog ID: 16823.0
Freckles,1917,Marshall Neilan,,AFI Catalog ID: 16906.0
Little Lost Sister,1917,Alfred Green,,AFI Catalog ID: 17574.0
Mr. Opp,1917,Lynn F. Reynolds,,AFI Catalog ID: 17649.0
Mrs. Balfame,1917,Frank Powell,,AFI Catalog ID: 16963.0
Rebecca of Sunnybrook Farm,1917,Marshall Neilan,,AFI Catalog ID: 18216.0
The Courage of the Common Place,1917,Ben Turbett,,AFI Catalog ID: 16892.0
The Fair Barbarian,1917,Robert Thornby,,AFI Catalog ID: 16901.0
The Little Chevalier,1917,Alan Crosland,,AFI Catalog ID: 1915.0
The Little Princess,1917,Marshall Neilan,,AFI Catalog ID: 16982.0
The Primrose Ring,1917,Robert Leonard,,AFI Catalog ID: 17716.0
The Rise of Jennie Cushing,1917,Maurice Tourneur,,AFI Catalog ID: 18030.0
The Secret of the Storm Country,1917,Charles Miller,,AFI Catalog ID: 17749.0
Who Knows?,1917,Jack Pratt,,AFI Catalog ID: 17002.0
All Woman,1918,Hobart Henley,,AFI Catalog ID: 17016.0
Her Great Chance,1918,Charles Maigne,,AFI Catalog ID: 17126.0
His Robe of Honor,1918,Rex Ingram,,AFI Catalog ID: 17119.0
"How Could You, Jean?",1918,William D. Taylor,,AFI Catalog ID: 1961.0
Kildare of Storm,1918,Harry L. Franklin,,AFI Catalog ID: 17147.0
Less Than Kin,1918,Donald Crisp,,AFI Catalog ID: 17188.0
Little Miss Hoover,1918,John S. Robertson,,AFI Catalog ID: 17192.0
Out of a Clear Sky,1918,Marshall Neilan,,AFI Catalog ID: 1988.0
Sandy,1918,George H. Melford,,AFI Catalog ID: 1996.0
Sunshine Nan,1918,Charles Giblyn,,AFI Catalog ID: 17262.0
