id,work_type,magazine_title,magazine_pub_date,magazine_issue_info,serialized,serial_parts
1,novel,,,,false,
3,novel,,,,false,
4,novel,,,,false,
5,novel,,,,false,
6,novel,,,,false,
7,novel,,,,false,
8,novel,,,,false,
9,,,,,false,
10,novel,,,,false,
11,,,,,false,
12,,,,,false,
13,,,,,false,
15,,,,,false,
18,,,,,false,
19,novel,,,,false,
20,novel,,,,false,
21,novel,,,,false,
22,novel,,,,false,
23,novel,,,,false,
24,novel,,,,false,
26,novel,,,,false,
28,,,,,false,
30,,,,,false,
31,novel,,,,false,
32,novel,,,,false,
33,novella,Young's Magazine,,,false,
34,,,,,false,
35,,,,,false,
36,,,,,false,
40,novel,,,,false,
41,novel,,,,false,
42,short_story,Cosmopolitan,07-01-1917,July 1917,false,
44,,,,,false,
45,,,,,false,
46,short_story,,,,false,
47,novel,,,,false,
48,short_story,Women's Stories,05-15-1914,15 May-1 Jun 1914,true,3
49,novel,,,,false,
50,novel,,,,false,
51,novel,,,,false,
52,short_story,Cosmopolitan Magazine,06-01-1917,June 1917,false,
53,short_story,Cosmopolitan Magazine,06-01-1918,June 1918,false,
55,short_story,,,,false,
56,short_story,Smith's Magazine,08-01-1918,Aug 1918,false,
57,novel,,,,false,
60,short_story,Cosmopolitan,03-01-1919,Mar 1919,false,
61,novel,,,,false,
62,novel,,,,false,
63,short_story,Snappy Stories,01-01-1919,,false,
65,,,,,false,
66,,,,,false,
72,novel,,,,false,
73,novel,,,,false,
74,novel,,,,false,
75,short_story,,,,false,
76,novel,,,,false,
77,,,,,false,
79,,,,,false,
80,novel,,,,false,
81,novella,Redbook,12-01-1920,Dec 1920-Feb 1921,true,3
83,,,,,false,
84,short_story,Redbook,02-01-1920,Feb 1920,false,
85,novel,,,,false,
86,short_story,Saturday Evening Post,08-15-1914,,false,
87,short_story,Cosmopolitan,,,false,
88,,,,,false,
89,short_story,Saturday Evening Post,02-14-1920,,false,
90,short_story,,,,false,
91,novel,,,,false,
92,novel,,,,false,
93,,,,,false,
94,,,,,false,
95,short_story,Saturday Evening Post,10-28-1922,28 Oct-18 Nov 1922,true,3
96,novel,,,,false,
97,short_story,Saturday Evening Post,12-05-1914,,false,
98,short_story,,,,false,
99,novel,,,,false,
100,novel,,,,false,
101,novel,,,,false,
102,short_story,Metropolitan,,Sep 1924-Oct 1924,false,
104,novel,,,,false,
106,novel,,,,false,
107,short_story,,,,false,
108,short_story,Cosmopolitan,02-01-1924,Feb 1924,false,
110,,,,,false,
111,novel,,,,false,
112,novel,,,,false,
114,novella,Saturday Evening Post,05-05-1923,5 May-19 May 1923,true,3
115,,,,,false,
117,short_story,Ainslee's,02-01-1923,Feb 1923,false,
118,novel,,,,false,
119,novel,,,,false,
120,novel,,,,false,
121,novel,,,,false,
122,short_story,Red Book Magazine,10-01-1925,Oct 1925,false,
124,novel,,,,false,
127,,,,,false,
129,novel,,,,false,
130,short_story,,,,false,
131,novel,,,,false,
132,novel,,,,false,
135,short_story,Hearst's International-Cosmopolitan,02-01-1926,Feb 1926,false,
136,short_story,Saturday Evening Post,07-09-1927,9 Jul-16 Jul 1927,true,2
137,short_story,Liberty,07-31-1926,,false,
138,short_story,Everybody's Magazine,,Jan-Jul 1919,false,
139,short_story,Hearst's International-Cosmopolitan,01-01-1926,Jan 1926,false,
140,novel,,,,false,
143,short_story,,,,false,
145,novel,,,,false,
146,short_story,Hearst's International-Cosmopolitan,05-01-1925,May 1925,false,
148,short_story,Hearst's International-Cosmopolitan,02-01-1928,Feb 1928,false,
149,short_story,,,,false,
151,,,,,false,
152,short_story,American Magazine,06-01-1926,June 1926,false,
153,novel,,,,false,
154,novel,,,,false,
155,short_story,Saturday Evening Post,12-14-1929,14-28 Dec 1929,false,
156,,,,,false,
158,novel,,,,false,
159,short_story,Redbook,05-01-1926,May 1926,false,
161,novel,,,,false,
162,novel,,,,false,
163,novel,,,,false,
164,novel,,,,false,
165,novel,,,,false,
166,short_story,College Humor,02-01-1931,Feb 1931,false,
168,novel,,,,false,
169,novel,,,,false,
171,novel,,,,false,
175,novel,,,,false,
176,short_story,,,,false,
178,,,,,false,
179,short_story,,,,false,
180,novel,,,,false,
181,short_story,College Humor,08-01-1930,Aug 1930,false,
183,short_story,College Humor,02-01-1932,Feb-Mar 1932,false,
185,novel,,,,false,
186,short_story,Heast's International-Cosmopolitan,03-01-1933,Mar 1933,false,
187,novel,,,,false,
188,short_story,Red Book Magazine,11-01-1928,Nov 1928,false,
189,novella,Liberty,,24 Jun-9 Sep 1933,true,
191,novel,,,,false,
192,short_story,Saturday Evening Post,08-13-1921,,false,
193,novel,,,,false,
194,,,,,false,
195,short_story,Hearst's International-Cosmopolitan,02-01-1934,Feb 1934,false,
196,short_story,Hearst's International-Cosmopolitan,,,false,
197,short_story,Hearst's International-Cosmopolitan,05-01-1935,May 1935,false,
198,novel,,,,false,
199,short_story,Hearst's International-Cosmopolitan,11-01-1934,Nov 1934,false,
200,short_story,,,,false,
201,short_story,Hearst's International-Cosmopolitan,02-01-1935,Feb 1935,false,
202,short_story,Hearst's International-Cosmopolitan,07-01-1934,Jul 1934,false,
203,novel,,,,false,
