id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
43,Adela Rogers St. Johns,1894,1988,United States,,"American journalist, novelist, and screenwriter (1894-1988). Born in Los Angeles. Died in Arroyo Grande. Occupations: journalist, screenwriter, biographer, writer, essayist, novelist",Q353774,2025-06-17T03:44:44.513472,2025-06-20T22:11:36.269881,
121,Adele Bleneau,,,,,,,2025-06-18T02:29:21.222936,2025-06-18T02:29:21.222936,
96,Agnes Newton Keith,1901,1982,"United States, Malaysia",,"American novelist and memoirist (1901—1982). Occupations: novelist, writer",Q4693095,2025-06-17T03:44:44.513472,2025-06-17T16:38:34.1973,
251,Alberta Pierson Hannum,1906,1985,,,writer. Occupations: writer,Q105375750,2025-07-05T22:18:25.74318,2025-07-05T22:22:59.314213,
203,Alberta Stedman Eagan,,,,,,,2025-06-24T13:48:25.835294,2025-06-24T13:48:25.835294,
263,Alexine Heyland,,,,,,,2025-07-05T22:18:25.74318,2025-07-05T22:18:25.74318,
24,Alice Duer Miller,1894,1985,United States,,American screenwriter (1894-1985). Born in Milwaukee. Died in Woodland Hills. Occupations: screenwriter,Q3611673,2025-06-17T03:44:44.513472,2025-06-18T02:04:20.604794,also wrote under the pseud Clara Bartram
5,Alice Hegan Rice,1870,1942,United States,,"American writer. Born in Shelbyville. Died in Louisville. Occupations: humorist, novelist, short story writer, writer. Notable works: Mrs. Wiggs of the Cabbage Patch",Q4725909,2025-06-17T03:44:44.513472,2025-06-17T16:36:36.227967,
11,Alice MacGowan,1858,1947,United States,,"American author. Born in Perrysburg. Died in Los Gatos. Occupations: novelist, writer",Q13563114,2025-06-17T03:44:44.513472,2025-06-17T16:36:44.451419,
7,Alice Muriel Williamson,1869,1933,"United Kingdom, United Kingdom of Great Britain and Ireland",,"British novelist, frequently as duo with husband C. N. Williamson. Born in Cleveland. Died in Bath. Occupations: writer, novelist",Q4726025,2025-06-17T03:44:44.513472,2025-06-20T17:52:20.404847,
173,Alice Ross Colver,,,,,,,2025-06-19T17:55:47.602155,2025-06-19T17:55:47.602155,
266,Alice Tisdale Hobart,1882,1967,United States,,"American writer (1882-1967). Born in Lockport. Occupations: writer, historian, novelist",Q1594680,2025-07-05T22:18:25.74318,2025-07-05T22:23:18.316486,
176,Allene Corliss,,,,,,,2025-06-19T17:55:47.602155,2025-06-19T17:55:47.602155,
213,Angna Enters,1897,1989,United States,,"American dancer, mime, painter, writer, novelist and playwright (1897-1989). Born in New York City. Died in Tenafly. Occupations: mime artist, dancer, painter, autobiographer, actor",Q4763725,2025-06-24T13:48:25.835294,2025-06-24T14:30:52.44389,
52,Anita Loos,1888,1981,United States,,"American screenwriter, playwright, author, actress and television producer (1888-1981). Born in Mount Shasta. Died in New York City. Occupations: film actor, screenwriter, writer, autobiographer, memoirist, novelist. Notable works: Gentlemen Prefer Blondes",Q272088,2025-06-17T03:44:44.513472,2025-06-17T16:37:40.142343,
166,Anna Alice Chapin,1880,1920,United States,,"American writer. Born in New York City. Died in New York City. Occupations: writer, novelist",Q4766815,2025-06-19T17:55:47.602155,2025-06-20T17:53:47.034436,
243,Anna Katharine Green,1846,1935,United States,,"novelist (1846-1935). Born in Brooklyn. Died in Buffalo. Occupations: novelist, poet, writer. Notable works: The Leavenworth Case",Q442130,2025-07-04T00:53:10.886851,2025-07-04T03:29:23.879218,
65,Anne Austin,1895,1975,United States,,American crime writer (1895-1975). Born in Waco. Died in Los Angeles. Occupations: crime fiction writer,Q19606547,2025-06-17T03:44:44.513472,2025-06-17T16:37:57.049976,
153,Anne Cameron,,,,,,-,2025-06-19T17:55:47.602155,2025-06-23T03:47:50.882438,
36,Anzia Yezierska,1880,1970,"United States, Poland",,"American writer (1880–1970). Born in Płońsk. Died in Ontario. Occupations: novelist, author, writer. Notable works: Hungry Hearts, Bread Givers",Q535396,2025-06-17T03:44:44.513472,2025-06-17T16:37:16.601812,
215,Augusta Wilson,,,,,,,2025-06-24T13:48:25.835294,2025-06-24T13:48:25.835294,aka Augusta Jane Evans Wilson
49,Beatrice Burton,1894,1983,United States,,"American writer (1894-1983). Born in Cleveland. Died in Naples. Occupations: novelist, writer, actor",Q4877134,2025-06-17T03:44:44.513472,2025-06-17T16:37:35.898943,
139,Bernice Brown,,,,,,,2025-06-18T02:56:53.711236,2025-06-18T02:56:53.711236,
252,Bertita Harding,1902,1971,United States,,"American writer. Born in Nuremberg. Died in Mexico City. Occupations: pianist, writer, biographer",Q16007025,2025-07-05T22:18:25.74318,2025-07-05T22:23:00.892305,
133,Bessie Breuer,1893,1975,United States,,"American journalist, novelist and playwright. Born in Cleveland. Occupations: playwright, writer, novelist, journalist",Q4896467,2025-06-18T02:50:10.932622,2025-06-20T17:53:03.163849,
55,Bess Streeter Aldrich,1881,1954,United States,,"American author (1881–1954). Born in Cedar Falls. Died in Lincoln. Occupations: novelist, writer. Notable works: A Lantern in Her Hand",Q4896373,2025-06-17T03:44:44.513472,2025-06-17T16:37:43.302418,
132,Beta Breuil,1876,,United States,,"script editor and screenwriter. Born in New York City. Occupations: film producer, film editor, screenwriter, film director",Q28047982,2025-06-18T02:48:30.96183,2025-06-20T17:53:01.555387,pseud of Elizabeth Donner Vanderveer
140,Beth Brown,,,,,,,2025-06-18T02:59:06.541005,2025-06-18T02:59:06.541005,
149,Betty Burbridge,1895,1987,United States,,"American screenwriter and actress (1895-1987). Born in San Diego. Died in Tarzana. Occupations: actor, film actor, television writer, film screenwriter, screenwriter",Q964910,2025-06-18T03:30:18.08117,2025-06-20T17:53:21.553458,
83,Betty Smith,1896,1972,United States,,"American author (1896–1972). Born in Brooklyn. Died in Shelton. Occupations: children's writer, screenwriter, writer, playwright, novelist. Notable works: A Tree Grows in Brooklyn",Q273730,2025-06-17T03:44:44.513472,2025-06-17T16:38:16.772077,
199,Beulah Marie Dix,1876,1970,United States,,"American screenwriter, children's book author (1876-1970). Born in Kingston. Died in Woodland Hills. Occupations: screenwriter, writer, children's writer, novelist",Q3639218,2025-06-23T00:49:56.759267,2025-06-23T01:12:29.087229,
128,Blanche Brace,,,,,,,2025-06-18T02:42:34.641016,2025-06-18T02:42:34.641016,
33,B. M. Bower,1871,1940,United States,,"American writer (1871–1940). Born in Cleveland. Died in Los Angeles. Occupations: screenwriter, novelist, teacher, writer. Notable works: Flying U",Q2899250,2025-06-17T03:44:44.513472,2025-06-17T16:37:12.122879,
250,Brooke Hanlon,,,,,,,2025-07-05T22:18:25.74318,2025-07-05T22:18:25.74318,
210,Carmen Ballen Edington,,,,,,,2025-06-24T13:48:25.835294,2025-06-24T13:48:25.835294,see https://archive.ph/qQI1D
118,Carol Bird,,,,,,,2025-06-18T02:25:39.458996,2025-06-18T02:25:39.458996,
37,Caroline Abbot Stanley,1849,1919,United States,,"American author. Born in Callaway County. Died in Fulton. Occupations: novelist, writer",Q23419104,2025-06-17T03:44:44.513472,2025-06-17T16:37:18.115041,
10,Caroline Lockhart,1871,1962,United States,,,Q96000546,2025-06-17T03:44:44.513472,2025-06-20T18:09:46.488432,
135,Carol Ryrie Brink,1895,1981,United States,,"American children's writer. Born in Moscow. Died in La Jolla. Occupations: writer, children's writer, novelist. Notable works: Baby Island, Magical Melons, Caddie Woodlawn",Q5044537,2025-06-18T02:52:36.597512,2025-06-20T17:53:06.998295,
98,Carson McCullers,1917,1967,United States,,"American writer (1917–1967). Born in Columbus. Died in Nyack. Occupations: screenwriter, prose writer, writer, poet, playwright, novelist. Notable works: The Heart Is a Lonely Hunter, The Member of the Wedding",Q230591,2025-06-17T03:44:44.513472,2025-06-17T16:38:37.281143,
126,Catherine Drinker Bowen,1897,1973,United States,,"American writer. Born in Haverford. Died in Haverford. Occupations: biographer, writer, historian, violinist, novelist",Q2941900,2025-06-18T02:38:38.626096,2025-06-20T17:52:52.662151,
85,Charlotte Armstrong,1905,1969,United States,,"American writer (1905–1969). Born in Vulcan. Died in Glendale. Occupations: playwright, screenwriter, novelist, writer",Q120578,2025-06-17T03:44:44.513472,2025-06-17T16:38:19.738034,
90,Cid Ricketts Sumner,1890,1970,United States,,American writer. Occupations: novelist,Q5119485,2025-06-17T03:44:44.513472,2025-06-17T16:38:26.192685,
150,Clara Louise Burnham,1854,1927,United States,,"American novelist. Born in Newton. Died in Bailey Island. Occupations: writer, novelist",Q29463958,2025-06-18T03:31:52.032704,2025-06-20T17:53:23.576389,
184,Clarissa Fairchild Cushman,,,,,,,2025-06-19T17:55:47.602155,2025-06-19T17:55:47.602155,
61,Cleo Lucas,,,,,,,2025-06-17T03:44:44.513472,2025-06-17T03:44:44.513472,
247,Cornelia Baird Gross,,,,,,,2025-07-04T00:53:10.886851,2025-07-04T00:53:10.886851,
253,Corra Mae Harris,1869,1935,United States,,"American writer. Born in Elbert County. Died in Atlanta. Occupations: writer, journalist, novelist",Q5172696,2025-07-05T22:18:25.74318,2025-07-05T22:23:02.567744,
165,Countess de Chambrun,,,,,,,2025-06-19T17:55:47.602155,2025-06-19T17:55:47.602155,pseud of Clara Longworth De Chambrun
82,Craig Rice,1908,1957,United States,,"American writer (1908-1957). Born in Chicago. Died in Los Angeles. Occupations: screenwriter, novelist, writer",Q1639201,2025-06-17T03:44:44.513472,2025-06-17T16:38:15.205763,
211,Della Gould Emmons,1890,1983,United States,,American writer (1890–1983). Born in Glencoe. Died in Tacoma. Occupations: writer,Q4558726,2025-06-24T13:48:25.835294,2025-06-24T14:30:49.75986,
104,Diana Barrymore,1921,1960,United States,,"American actress (1921–1960). Born in New York City. Died in New York City. Occupations: talk show host, film actor, actor, stage actor, television actor, writer",Q444125,2025-06-17T03:44:44.513472,2025-06-17T16:38:44.319928,
