id,title,author_id,publication_year,genre,plot_summary,literary_significance,created_at,updated_at,attribution_notes
1,Ramona,1,1884,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
2,Uncle Tom's cabin,2,1852,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
3,Uncle Tom's Cabin,2,1852,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
4,A Lady of Quality,3,1896,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
5,Tess of the Storm Country,4,1909,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
6,Mrs. Wiggs of the Cabbage Patch,5,1901,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
7,The Circular Staircase,6,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
8,The Pretty Sister of Jose,3,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
9,The House of the Lost Court,7,1908,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
10,A Romance of Billy-Goat Hill,5,1912,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
11,Lord Loveland Discovers America,7,1910,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
12,The Shop Girl,7,1916,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
13,The Woman Who Dared,7,1903,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
14,The Place Beyond the Winds,8,1914,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
15,The Iron Woman,9,1911,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
16,The Awakening of Helena Richie,9,1906,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
17,The Man from the Bitter Roots,10,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
18,Judith of the Cumberlands,11,1908,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
19,Freckles,12,1904,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
20,Rebecca of Sunnybrook Farm,13,1903,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
21,The Courage of the Commonplace,14,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
22,An Alabaster Box,15,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
23,A Fair Barbarian,3,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
24,Continuation of Tess of the Storm Country,4,1909,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
25,Mrs. Balfame,16,1916,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
26,Mr. Opp,5,1909,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
27,The Rose-Garden Husband,17,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
28,A Son of the Hills,8,1913,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
29,The Primrose Ring,18,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
30,The Rise of Jennie Cushing,19,1914,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
31,"""Kildares of Storm""",20,1916,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
32,Calvary Alley,5,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
33,"""The Vanity Pool""",21,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
34,Patience Sparhawk and Her Times,16,1897,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
35,The House of Mirth,22,1905,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
36,The Three Things,14,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
37,Uncle Tom's Cabin,2,1852,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
38,The Bargain True,21,1918,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
39,The Firefly of France,23,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
40,Less Than Kin,24,1909,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
41,Sandy,5,1905,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
42,"""Golden Fleece""",25,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
43,Why Not?,17,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
44,The Life Mask,7,1913,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
45,a novel?,7,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
46,"""Her Fling""",26,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
47,Madelon of the Redwoods,15,1896,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
48,"""The Bramble Bush""",21,1914,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
49,Come Out of the Kitchen!,24,1916,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
50,Daddy-Long-Legs,27,1912,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
51,Little Women,28,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
52,"""Oats for the Woman""",25,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
53,"""The Petal on the Current""",25,1918,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
54,The Wishing Ring Man,17,1917,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
55,"""The Love Call""",29,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
56,"""Whose Widow""",30,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
57,Storm Country Polly,4,1920,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
58,His Harvest,31,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
59,Her Elephant Man,31,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
60,Humoresque,25,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
61,Judy of Rogue's Harbor,4,1918,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
62,Calderon's Prisoner,24,1903,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
63,"""Miss Antique""",21,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
64,Tower of Ivory,16,,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
65,The Guests of Hercules,7,1912,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
66,The Girl Who Lived in the Woods,29,1910,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
67,The Incubus,29,1915,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
68,The Branding Iron,32,1919,,,,2025-06-17 03:48:03.914138,2025-06-17 03:48:03.914138,
