lost_title,lost_year,db_id,db_title,db_year,confidence,current_availability,year_mismatch
In The Bishop's Carriage,1913,805,In the Bishop's Carriage,1913,100,lost,
Mrs. Wiggs Of The Cabbage Patch,1914,6,Mrs. Wiggs of the Cabbage Patch,1914,100,lost,
St. Elmo,1914,546,St. Elmo,1914,100,lost,
When Fate Leads Trump,1914,948,When Fate Leads Trump,1914,100,lost,
Beulah,1915,1094,Beulah,1915,100,lost,
From The Valley Of The Missing,1915,584,From the Valley of the Missing,1915,100,lost,
God's Witness,1915,1093,God's Witness,1915,100,lost,
Jewel,1915,435,Jewel,1915,100,lost,
Satan Sanderson,1915,943,Satan Sanderson,1915,100,lost,
Secretary Of Frivolous Affairs,1915,583,The Secretary of Frivolous Affairs,1915,100,lost,
What Happened To Father,1915,940,What Happened to Father?,1915,100,lost,
What Should A Woman Do To Promote Youth And Happiness?,1915,759,What Should a Woman Do to Promote Youth and Happiness?,1915,100,lost,
Acquitted,1916,919,Acquitted,1916,100,lost,
Audrey,1916,673,Audrey,1916,100,lost,
Big Tremaine,1916,1048,Big Tremaine,1916,100,lost,
Judith Of The Cumberlands,1916,20,Judith of the Cumberlands,1916,100,lost,
Lord Loveland Discovers America,1916,13,Lord Loveland Discovers America,1916,100,lost,
Molly Make -Believe,1916,344,Molly Make-Believe,1916,100,lost,
Secret Love,1916,428,Secret Love,1916,100,lost,
Tempest And Sunshine,1916,650,Tempest and Sunshine,1916,100,lost,
To Have And To Hold,1916,675,To Have and to Hold,1916,100,lost,
Bab's Burglar,1917,921,Bab's Burglar,1917,100,lost,
Bab's Diary,1917,926,Bab's Diary,1917,100,lost,
Bab's Matinee Idol,1917,936,Bab's Matinee Idol,1917,100,lost,
Freckles,1917,21,Freckles,1917,100,lost,
Little Shoes,1917,659,Little Shoes,1917,100,lost,
Mary Moreland,1917,1050,Mary Moreland,1917,100,lost,
Mr. Opp,1917,28,Mr. Opp,1917,100,lost,
Mrs. Balfame,1917,27,Mrs. Balfame,1917,100,lost,
Persuasive Peggy,1917,1028,Persuasive Peggy,1917,100,lost,
Souls Triumphant,1917,851,Souls Triumphant,1917,100,lost,
Two -Bit Seats,1917,670,Two-Bit Seats,1917,100,lost,
Who Knows?,1917,523,Who Knows?,1917,100,lost,
All Woman,1918,509,All Woman,1918,100,lost,
Brown Of Harvard,1918,1119,Brown of Harvard,1918,100,lost,
Cecilia Of The Pink Roses,1918,1017,Cecilia of the Pink Roses,1918,100,lost,
Her Country First,1918,925,Her Country First,1918,100,lost,
Her Decision,1918,592,Her Decision,1918,100,lost,
Her Great Chance,1918,44,Her Great Chance,1918,100,lost,
His Robe Of Honor,1918,521,His Robe of Honor,1918,100,lost,
"How Could You, Jean?",1918,388,"How Could You, Jean?",1918,100,lost,
Kildare Of Storm,1918,33,Kildare of Storm,1918,100,lost,
Less Than Kin,1918,42,Less Than Kin,1918,100,lost,
Limousine Life,1918,547,Limousine Life,1918,100,lost,
