id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
1,Helen Hunt Jackson,1830,1885,United States,,"American novelist, poet, writer, activist (1830–1885). Born in Amherst. Died in San Francisco. Occupations: novelist, poet, journalist, writer. Notable works: A Century of Dishonor",Q462363,2025-06-17 03:44:44.513472,2025-06-17 16:36:29.712102,
2,Harriet Beecher Stowe,1811,1896,United States,,"American abolitionist and author (1811–1896). Born in Litchfield. Died in Hartford. Occupations: children's writer, short story writer, abolitionist, writer, essayist, novelist, poet. Notable works: Still, Still with Thee, Uncle Tom's Cabin, Dred: A Tale of the Great Dismal Swamp, A Key to Uncle Tom's Cabin",Q102513,2025-06-17 03:44:44.513472,2025-06-17 16:36:31.254892,
3,Frances Hodgson Burnett,1849,1924,"United Kingdom of Great Britain and Ireland, United Kingdom, United States",,"English-American playwright and author (1849–1924). Born in Manchester. Died in Plandome Manor. Occupations: children's writer, short story writer, writer, playwright, dramaturge, novelist. Notable works: The Lost Prince, The Secret Garden, Little Lord Fauntleroy, The Shuttle, The Head of the House of Coombe",Q276028,2025-06-17 03:44:44.513472,2025-06-17 16:36:33.0294,
4,Grace Miller White,1868,1957,United States,,"American writer (1868-1957). Occupations: novelist, writer",Q5591308,2025-06-17 03:44:44.513472,2025-06-17 16:36:34.700562,
5,Alice Hegan Rice,1870,1942,United States,,"American writer. Born in Shelbyville. Died in Louisville. Occupations: humorist, novelist, short story writer, writer. Notable works: Mrs. Wiggs of the Cabbage Patch",Q4725909,2025-06-17 03:44:44.513472,2025-06-17 16:36:36.227967,
6,Mary Roberts Rinehart,1876,1958,United States,,"American mystery writer (1876–1958). Born in Pittsburgh. Died in New York City. Occupations: journalist, screenwriter, travel writer, humorist, writer, crime fiction writer, essayist, novelist, nurse, poet",Q460366,2025-06-17 03:44:44.513472,2025-06-17 16:36:37.696645,
7,Alice Muriel Williamson,1858,1933,"United States, England",,,,2025-06-17 03:44:44.513472,2025-06-17 21:58:08.681315,
8,Harriet Theresa Comstock,1860,1925,United States,,,Q5664346,2025-06-17 03:44:44.513472,2025-06-17 16:57:51.442308,
9,Margaret Deland,1857,1945,United States,,"American writer and poet (1857–1945). Born in Allegheny. Died in Boston. Occupations: short story writer, university teacher, writer, autobiographer, novelist, poet. Notable works: Sidney, The Rising Tide, The Iron Woman, Philip and His Wife, The Awakening of Helena Richie",Q1894814,2025-06-17 03:44:44.513472,2025-06-17 16:36:41.326397,
10,Caroline Lockhart,1871,1962,United States,,,,2025-06-17 03:44:44.513472,2025-06-17 22:00:24.268102,
